route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,start_point,end_point
34,,A_NN_R,AQUA_Noida Sector 142 to Noida Sector 51,,1,,AQUA,,,,,Noida Sector 142,Noida Sector 51
35,,A_ND_R,AQUA_Depot Station to Noida Sector 142,,1,,AQUA,,,,,Depot Station,Noida Sector 142
16,,A_NN,AQUA_Noida Sector 51 to Noida Sector 142,,1,,AQUA,,,,,Noida Sector 51,Noida Sector 142
17,,A_ND,AQUA_Noida Sector 142 to Depot Station,,1,,AQUA,,,,,Noida Sector 142,Depot Station
6,,B_DV,BLUE_Dwarka Sector - 21 to Vaishali,,1,,BLUE,,,,,Dwarka Sector - 21,Vaishali
24,,B_DV_R,BLUE_Vaishali to Dwarka Sector - 21,,1,,BLUE,,,,,Vaishali,Dwarka Sector - 21
23,,B_DN_R,BLUE_Noida Electronic City to Dwarka Sector - 21,,1,,BLUE,,,,,Noida Electronic City,Dwarka Sector - 21
5,,B_DN,BLUE_Dwarka Sector - 21 to Noida Electronic City,,1,,BLUE,,,,,Dwarka Sector - 21,Noida Electronic City
31,,G_DD_R,GRAY_Dhansa Bus Stand to Dwarka,,1,,GRAY,,,,,Dhansa Bus Stand,Dwarka
13,,G_DD,GRAY_Dwarka to Dhansa Bus Stand,,1,,GRAY,,,,,Dwarka,Dhansa Bus Stand
26,,G_IB_R,GREEN_Brigadier Hoshiyar Singh to Inderlok,,1,,GREEN,,,,,Brigadier Hoshiyar Singh,Inderlok
7,,G_KB,GREEN_Kirti Nagar to Brigadier Hoshiyar Singh,,1,,GREEN,,,,,Kirti Nagar,Brigadier Hoshiyar Singh
25,,G_KB_R,GREEN_Brigadier Hoshiyar Singh to Kirti Nagar,,1,,GREEN,,,,,Brigadier Hoshiyar Singh,Kirti Nagar
8,,G_IB,GREEN_Inderlok to Brigadier Hoshiyar Singh,,1,,GREEN,,,,,Inderlok,Brigadier Hoshiyar Singh
12,,M_JB,MAGENTA_Janak Puri West to Botanical Garden,,1,,MAGENTA,,,,,Janak Puri West,Botanical Garden
30,,M_JB_R,MAGENTA_Botanical Garden to Janak Puri West,,1,,MAGENTA,,,,,Botanical Garden,Janak Puri West
32,,O_DN_R,ORANGE/AIRPORT_New Delhi to Dwarka Sector - 21,,1,,ORANGE,,,,,New Delhi,Dwarka Sector - 21
14,,O_DN,ORANGE/AIRPORT_Dwarka Sector - 21 to New Delhi,,1,,ORANGE,,,,,Dwarka Sector - 21,New Delhi
29,,P_MS_R,PINK_Shiv Vihar to Majlis Park,,1,,PINK,,,,,Shiv Vihar,Majlis Park
11,,P_MS,PINK_Majlis Park to Shiv Vihar,,1,,PINK,,,,,Majlis Park,Shiv Vihar
33,,R_SP_R,RAPID_Phase 3 (Rapid Metro) to Sector 55-56 (Rapid Metro),,1,,PURPLE,,,,,Phase 3 (Rapid Metro),Sector 55-56 (Rapid Metro)
15,,R_SP,RAPID_Sector 55-56 (Rapid Metro) to Phase 3 (Rapid Metro),,1,,PURPLE,,,,,Sector 55-56 (Rapid Metro),Phase 3 (Rapid Metro)
18,,R_RD_R,RED_Dilshad Garden  to Rithala,,1,,RED,,,,,Dilshad Garden ,Rithala
19,,R_RS_R,RED_Shaheed Sthal (New Bus Adda) to Rithala,,1,,RED,,,,,Shaheed Sthal (New Bus Adda),Rithala
1,,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),,1,,RED,,,,,Rithala,Shaheed Sthal (New Bus Adda)
0,,R_RD,RED_Rithala to Dilshad Garden,,1,,RED,,,,,Rithala,Dilshad Garden
28,,V_KR_R,VIOLET_Raja Nahar Singh to Kashmere Gate,,1,,VIOLET,,,,,Raja Nahar Singh,Kashmere Gate
10,,V_KR,VIOLET_Kashmere Gate to Raja Nahar Singh,,1,,VIOLET,,,,,Kashmere Gate,Raja Nahar Singh
27,,V_KB_R,VIOLET_Badarpur Border to Kashmere Gate,,1,,VIOLET,,,,,Badarpur Border,Kashmere Gate
9,,V_KB,VIOLET_Kashmere Gate to Badarpur Border,,1,,VIOLET,,,,,Kashmere Gate,Badarpur Border
22,,Y_HQ_R,YELLOW_Qutab Minar  to Huda City Centre,,1,,YELLOW,,,,,Qutab Minar ,Huda City Centre
3,,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,,1,,YELLOW,,,,,Qutab Minar,Vishwavidyalaya
2,,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,,1,,YELLOW,,,,,Huda City Centre,Samaypur Badli
20,,Y_HS_R,YELLOW_Samaypur Badli to Huda City Centre,,1,,YELLOW,,,,,Samaypur Badli,Huda City Centre
21,,Y_QV_R,YELLOW_Vishwavidyalaya to Qutab Minar,,1,,YELLOW,,,,,Vishwavidyalaya,Qutab Minar
4,,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,,1,,YELLOW,,,,,Huda City Centre,Qutab Minar
